"(épouse"
"adélaïde"
"adèle"
"adeline"
"adeline"
"adéline"
"adolphine"
"adrienne"
"agathe"
"agnès"
"aimée"
"albertine"
"alexandrie"
"alexandrine"
"alexine"
"alfréda"
"alice"
"alida"
"aline"
"alix"
"alphonsine"
"amarante"
"ambre"
"ambroisine"
"amélie"
"aminada"
"anaïs"
"anaïse"
"anastasie"
"andrée"
"angèle"
"angélina"
"angeline"
"angelique"
"angélique"
"anna"
"anne"
"annette"
"antoinette"
"antonia"
"apolline"
"appolline"
"appolonie"
"ariane"
"arianne"
"arienne"
"arlette"
"armelle"
"arnaude"
"arthurine"
"aude"
"augusta"
"augustine"
"aurélie"
"aurore"
"avril"
"axelle"
"barbara"
"barbe"
"béatrice"
"bénédicte"
"benjamine"
"benoite"
"bernadette"
"bernardine"
"berte"
"berthe"
"blanche"
"blandine"
"brigitte"
"carine"
"carole"
"caroline"
"catherine"
"cécile"
"cécilia"
"célénie"
"célestine"
"célina"
"céline"
"célinie"
"cerise"
"césarine"
"chantal"
"chanté"
"charline"
"charlotte"
"chloé"
"christelle"
"christiane"
"christianne"
"christine"
"claire"
"clara"
"clarice"
"clarisse"
"claudette"
"claudine"
"clémence"
"clementine"
"clémentine"
"clothilde"
"clotilda"
"clotilde"
"colette"
"constance"
"constantine"
"coralie"
"corinne"
"cornélie"
"cosette"
"cunégonde"
"danièle"
"danielle"
"delphine"
"denise"
"desideri"
"désirée"
"diane"
"dianne"
"dieudonnée"
"donatienne"
"doriane"
"dorothée"
"édith"
"edwige"
"eléonore"
"éléonore"
"éliane"
"élisa"
"elisabeth"
"élisabeth"
"elise"
"élise"
"élisia"
"élisia"
"élodie"
"éloise"
"elvire"
"émèlia"
"émélie"
"emeline"
"emeline"
"émilia"
"émilie"
"emilienne"
"émilienne"
"emma"
"emmanuelle"
"épouse"
"ernestine"
"esmée"
"estelle"
"esther"
"eudoxie"
"eugénie"
"eulalie"
"euphrasie"
"eva"
"eve"
"evette"
"fabienne"
"fabiola"
"faustine"
"félicia"
"félicie"
"felicienne"
"fernande"
"fidéline"
"fidéline"
"fifi"
"flavie"
"fleuria"
"fleuria"
"fleurisse"
"flore"
"florence"
"florentine"
"florette"
"florianne"
"florine"
"francine"
"francisca"
"franciska"
"franciszka"
"françoise"
"frédérique"
"gabrielle"
"gaetane"
"geneviève"
"georgette"
"georgina"
"georgine"
"gérardine"
"germaine"
"gersende"
"gervaise"
"ghislaine"
"gigi"
"gilberte"
"gisèle"
"giselle"
"gisselle"
"guislaine"
"gustavine"
"gwenaelle"
"haïda"
"hannah"
"héléna"
"hélène"
"héloïse"
"henriette"
"hermina"
"hermine"
"herminie"
"honorine"
"hortense"
"ida"
"inès"
"irène"
"irma"
"isabel"
"isabelle"
"ismérie"
"jacinthe"
"jacqueline"
"jeanine"
"jeanne"
"jeannette"
"jeannine"
"jenny"
"joceline"
"joelle"
"jolie"
"josée"
"josephe"
"josèphe"
"joséphie"
"joséphine"
"josette"
"josiane"
"judie"
"judith"
"julia"
"juliane"
"julianna"
"julie"
"julienne"
"juliette"
"justine"
"laure"
"laurence"
"laurentia"
"laurentine"
"laurette"
"léa"
"léocadie"
"léona"
"léonie"
"léonne"
"léontine"
"léopoldine"
"liane"
"liliane"
"lisette"
"louisa"
"louise"
"luce"
"lucienne"
"lucile"
"lucille"
"lucinde"
"lucine"
"lucrece"
"ludivine"
"lunete"
"lydie"
"madeleine"
"madeline"
"magdalena"
"magdeleine"
"malgina"
"malvina"
"manon"
"marceline"
"marcelle"
"marcellette"
"marcelline"
"margot"
"marguerite"
"maria"
"mariane"
"marianna"
"marianne"
"marie"
"marielle"
"mariette"
"marine"
"marise"
"marthe"
"martine"
"mathilde"
"maximilienne"
"mélanie"
"mélissa"
"mérentine"
"micheline"
"michelle"
"mignon"
"mirabelle"
"mireille"
"monique"
"morgaine"
"morgane"
"muriel"
"myriam"
"nadia"
"nadine"
"natalie"
"nathalie"
"nelly"
"nicole"
"nicolette"
"nina"
"ninette"
"ninon"
"noella"
"noelle"
"noélle"
"noémie"
"océane"
"octavie"
"odette"
"odile"
"odoxie"
"odyle"
"olga"
"olive"
"olympe"
"omérine"
"oriane"
"orianne"
"orpha"
"ouida"
"palmyre"
"pascale"
"pascaline"
"paule"
"paulette"
"pauline"
"pélagie"
"pénélope"
"perrine"
"philippine"
"philomène"
"polonie"
"prudence"
"quintilia"
"rachel"
"raymonde"
"rébecca"
"régine"
"reine"
"renée"
"rochelle"
"rolande"
"romaine"
"rosa"
"rosalie"
"rose"
"roselle"
"rosemonde"
"rosette"
"rosilia"
"rosine"
"roxane"
"roxanne"
"rufine"
"sabine"
"salomé"
"sandrine"
"sarah"
"saturnille"
"sébastienne"
"seraphine"
"séraphine"
"settina"
"séverine"
"sévérine"
"sibylle"
"sidonie"
"simone"
"solange"
"sophia"
"sophie"
"stanislawa"
"stéphanie"
"suzanne"
"suzette"
"sybille"
"sylvaine"
"sylviane"
"sylvianne"
"sylvie"
"tatienne"
"théodora"
"thérèse"
"thérèze"
"toinette"
"typhaine"
"ursule"
"valentine"
"valérie"
"védastine"
"véronique"
"victoire"
"victoria"
"victorine"
"vienne"
"violette"
"virginie"
"vivienne"
"wladislava"
"wladislawa"
"yolande"
"yseult"
"yvette"
"yvonne"
"zélia"
"zélie"
"zéphirine"
"zephyrine"
"zoé"
"zulma"
"lisa"
