"Abadelkem"
"Abal"
"Abas"
"Abbas"
"Abbderrahman"
"Abdallah"
"Abdelkader"
"Abdellah"
"Abdelmoula"
"Abdelneli"
"Abdelsah"
"Abderamane"
"Abderrahman"
"Abderrahmane"
"Abderrhaman"
"Abderrhamane"
"Abdesselam"
"Abdesselem"
"Abdilali"
"Abdo"
"Abdou"
"Abdul"
"Abdulla"
"Abdullah"
"Abeillard"
"Abel"
"Abélard"
"Abelin"
"Abélino"
"Abellache"
"Aberrahmane"
"Abner"
"Abraham"
"Abram"
"Abramo"
"Absalon"
"Acace"
"Acêne"
"Achaire"
"Achille"
"Achim"
"Achmed"
"Achour"
"Adalbaut"
"Adalbéron"
"Adalbert"
"Adam"
"Adamo"
"Adante"
"Addi"
"Adegrin"
"Adelaïde"
"Adelfio"
"Adelin"
"Adelina"
"Adélisio"
"Adelmo"
"Adelphe"
"Adelson"
"Aden"
"Adenet"
"Adéodat"
"Adhar"
"Adhémar"
"Adhen"
"Adite"
"Adj"
"Admira"
"Adoardo"
"Adolf"
"Adolfo"
"Adolph"
"Adolphe"
"Adonis"
"Adrian"
"Adriano"
"Adrien"
"Adulphe"
"Aezki"
"Agapet"
"Agapyte"
"Agata"
"Agathange"
"Agathon"
"Agénor"
"Agilbert"
"Aglaée"
"Agnan"
"Agnel"
"Agostino"
"Agrippin"
"Ahcène"
"Ahmed"
"Ahmet"
"Ahsène"
"Aignan"
"Aimable"
"Aimar"
"Aimé"
"Aimery"
"Aissa"
"Aïssa"
"Aissoun"
"Akbar"
"Akev"
"Akli"
"Akraouche"
"Aladi"
"Aladino"
"Alain"
"Alban"
"Albano"
"Albéric"
"Albert"
"Alberto"
"Albin"
"Albino"
"Alcardo"
"Alceste"
"Alcibiade"
"Alcide"
"Alcidie"
"Alcime"
"Aldegrin"
"Aldelar"
"Aldemar"
"Aldémar"
"Aldéric"
"Aldonce"
"Aleaume"
"Aleksander"
"Aleksy"
"Alessandro"
"Alessio"
"Alexa"
"Alexandre"
"Alexis"
"Alfaras"
"Alféo"
"Alfieri"
"Alfonso"
"Alfred"
"Alfredo"
"Alger"
"Alhet"
"Ali"
"Alibée"
"Alidor"
"Alidore"
"Aliodore"
"Alix"
"Allal"
"Allaloua"
"Allaoua"
"Alleb"
"Allela"
"Alliaume"
"Almine"
"Almino"
"Almire"
"Almiro"
"Alois"
"Aloîs"
"Aloïs"
"Aloise"
"Aloïse"
"Aloisius"
"Aloïzy"
"Alojz"
"Alojzy"
"Alonso"
"Aloys"
"Aloysius"
"Alozy"
"Alphara"
"Alphée"
"Alphonse"
"Alphonsus"
"Alpinien"
"Alpino"
"Alpinolo"
"Alvélino"
"Alverède"
"Alyre"
"Amad"
"Amador"
"Amalie"
"Amand"
"Amandin"
"Amant"
"Amanzio"
"Amar"
"Amara"
"Amarane"
"Amari"
"Amaro"
"Amarouche"
"Amato"
"Amaury"
"Ambareck"
"Ambroise"
"Amé"
"Amed"
"Amédé"
"Amedée"
"Amédée"
"Amédéo"
"Amélien"
"Amene"
"Amer"
"Amérigo"
"Ames"
"Ameur"
"Amic"
"Amiel"
"Ammar"
"Ammara"
"Ammard"
"Ammeur"
"Ammouche"
"Amokrane"
"Amouche"
"Amouda"
"Amour"
"Amran"
"Amrane"
"Amrouche"
"Anacharsis"
"Anaclet"
"Anani"
"Ananias"
"Ananie"
"Anastase"
"Anastasis"
"Anastaszy"
"Anastazi"
"Anastazy"
"Anastine"
"Anatole"
"Ancelin"
"Anchise"
"Andelin"
"Andéol"
"Andoche"
"André"
"Andréa"
"Andréas"
"Andrej"
"Andrzef"
"Andrzej"
"Andrzy"
"Ange"
"Angel"
"Angéla"
"Angelico"
"Angéline"
"Angélini"
"Angélio"
"Angelo"
"Angélo"
"Angèlo"
"Anger"
"Angilbe"
"Angilran"
"Angiolo"
"Angoustan"
"Anibale"
"Anicet"
"Aniceto"
"Anne"
"Annet"
"Annibal"
"Annibale"
"Anselme"
"Antenore"
"Anthelme"
"Anthime"
"Antide"
"Antioco"
"Anto."
"Antoine"
"Antoinette"
"Anton"
"Antoni"
"Antonie"
"Antonin"
"Antonino"
"Antonio"
"Antonios"
"Antonius"
"Antony"
"Anziane"
"Aouali"
"Aouamer"
"Aouard"
"Aoudia"
"Apolinaire"
"Apollinaire"
"Apollodore"
"Apollon"
"Apollonie"
"Appolinaire"
"Appoline"
"Aquilas"
"Aquilin"
"Arab"
"Aracil"
"Aramis"
"Arcade"
"Arcangelo"
"Arcangélo"
"Arcangiolo"
"Archambaud"
"Archange"
"Archenza"
"Archibald"
"Ardelio"
"Aré"
"Areski"
"Areszki"
"Arezki"
"Argentine"
"Arian"
"Aristarque"
"Ariste"
"Aristide"
"Aristodome"
"Aristote"
"Aristotelis"
"Arkadzuk"
"Armand"
"Armande"
"Armando"
"Armel"
"Armido"
"Armile"
"Arnaldo"
"Arnaud"
"Arnold"
"Arnolfo"
"Arnould"
"Arolde"
"Arrab"
"Arsène"
"Arsi"
"Arsinoé"
"Artenio"
"Arthaud"
"Arthème"
"Arthur"
"Arthuro"
"Arturo"
"Ascelin"
"Assen"
"Astolphe"
"Astor"
"Astutillo"
"Athanase"
"Athanassios"
"Athos"
"Atride"
"Attilio"
"Aubert"
"Aubin"
"Aubry"
"Audebert"
"Audouin"
"Audran"
"Augustave"
"Auguste"
"Augustin"
"Augustino"
"Augusto"
"Aumar"
"Aurèle"
"Aurélia"
"Aurélien"
"Aurélio"
"Aureta"
"Aurian"
"Ausilio"
"Austère"
"Auxibie"
"Avante"
"Avelino"
"Avenoel"
"Averardo"
"Avilla"
"Avit"
"Awad"
"Aymard"
"Aymeric"
"Aymon"
"Azaz"
"Azéma"
"Azémar"
"Azouadu"
"Azouaou"
"Baaziz"
"Bacher"
"Bachir"
"Bachisio"
"Badinant"
"Bahara"
"Bahloul"
"Baïls"
"Baker"
"Bakrim"
"Balaz"
"Balazs"
"Baldi"
"Baldnino"
"Banhousar"
"Baptista"
"Baptiste"
"Barack"
"Bareck"
"Barek"
"Barnaba"
"Barnabé"
"Barthélemi"
"Barthelemy"
"Barthélemy"
"Barthélémy"
"Bartholemy"
"Bartholomais"
"Bartholomé"
"Bartholomée"
"Bartholomeo"
"Bartholoméo"
"Barthomy"
"Bartimée"
"Bartlomiej"
"Bartola"
"Bartoli"
"Bartolo"
"Bartolomé"
"Bartolomeo"
"Bartoloméo"
"Bartolomes"
"Bartolomiej"
"Bartomoléo"
"Basabé"
"Basile"
"Basilio"
"Bastien"
"Basyle"
"Batista"
"Batta"
"Battista"
"Battistino"
"Baudouin"
"Bayel"
"Bayran"
"Baz"
"Baziz"
"Bazyli"
"Becham"
"Bédrich"
"Béla"
"Belabbas"
"Belabès"
"Bélahi"
"Belaïd"
"Bélaïd"
"Belgacem"
"Belhadj"
"Bélias"
"Belisario"
"Belkacem"
"Belkacène"
"Belkacine"
"Belmehdi"
"Bemyahia"
"Ben"
"Benahmed"
"Benaïssa"
"Benakli"
"Benaldi"
"Benali"
"Bénali"
"Benamar"
"Benamara"
"Benamer"
"Benameur"
"Benaminar"
"Benamino"
"Benammar"
"Benamrache"
"Benamrane"
"Benamrouche"
"Benamziane"
"Benarab"
"Benassemane"
"Benbelaïd"
"Benboukhalh"
"Benboussaad"
"Benedetto"
"Bénédetto"
"Benhamitouche"
"Benhammar"
"Benhammiche"
"Benhammou"
"Benhocine"
"Benhoussad"
"Béniamino"
"Beniddir"
"Benidir"
"Bénigne"
"Benigno"
"Benito"
"Benjamin"
"Benkacène"
"Benkaci"
"Benlounis"
"Benmahamed"
"Benmahammed"
"Benmahiddine"
"Benmahiout"
"Benmenguellat"
"Benméziane"
"Benmiloud"
"Benmohamed"
"Benmohammed"
"Benmouziane"
"Benmraoud"
"Bennahamme"
"Benoist"
"Benoit"
"Benoît"
"Benoîte"
"Benomar"
"Bénoni"
"Benrabah"
"Benrabia"
"Benramdane"
"Bensadi"
"Bensaid"
"Bensaïd"
"Bensalah"
"Bensalem"
"Bensiahmed"
"Benslimane"
"Bentahar"
"Bentayeb"
"Bentivoglio"
"Benttahar"
"Benvenuto"
"Benyahia"
"Benyoucef"
"Benzeygane"
"Béranger"
"Bérard"
"Berardino"
"Bernard"
"Bernardin"
"Bernardino"
"Bernardo"
"Bersalam"
"Bertha"
"Bertie"
"Bertolotti"
"Bertrand"
"Besaïd"
"Bettie"
"Biagio"
"Bienvenu"
"Bili"
"Bixi"
"Blaise"
"Blanchette"
"Blathazar"
"Blaz"
"Blazci"
"Bochin"
"Bochko"
"Bofcadou"
"Boguslaw"
"Bohdan"
"Bohémond"
"Bohumil"
"Bohumir"
"Bohuslav"
"Bol"
"Boleslas"
"Boleslaus"
"Boleslaw"
"Boluslav"
"Bon"
"Bonarino"
"Bonaventure"
"Boniface"
"Bonifacy"
"Bonifazio"
"Bonnaventure"
"Bortolo"
"Boubekeur"
"Boubouach"
"Bouchaïd"
"Bouchard"
"Boudinage"
"Boudjamaâ"
"Boudjema"
"Boudjémaa"
"Bouginia"
"Bouich"
"Boukhalfa"
"Boulenouar"
"Boumédiene"
"Boumediènne"
"Boumédienne"
"Bouramane"
"Bousad"
"Boussa"
"Boussaad"
"Boussäad"
"Boussad"
"Bouziane"
"Bouzid"
"Boyol"
"Bozo"
"Brack"
"Brahim"
"Breck"
"Briac"
"Brice"
"Brick"
"Brieuc"
"Bronislas"
"Bronislau"
"Bronislaus"
"Bronislaw"
"Brunetta"
"Bruno"
"Brunon"
"Bueno"
"Calixte"
"Calixto"
"Calliste"
"Camara"
"Camélien"
"Cami"
"Camil"
"Camille"
"Camillien"
"Campelos"
"Candide"
"Caralambos"
"Caravas"
"Caribert"
"Carl"
"Carlito"
"Carlo"
"Carloman"
"Carlos"
"Carmel"
"Carmelo"
"Carmen"
"Carmine"
"Casimir"
"Casimirro"
"Casiodor"
"Caspar"
"Cassandre"
"Cassien"
"Cassin"
"Castel"
"Catharina"
"Cécilien"
"Cécilio"
"Cécio"
"Cédric"
"Céférino"
"Céleste"
"Célestin"
"Célien"
"Censmail"
"Césaire"
"César"
"Césare"
"Chabam"
"Chabane"
"Chamsay"
"Charalambos"
"Charlemagne"
"Charles"
"Chéapan"
"Chéri"
"Chérif"
"Chériff"
"Chérifi"
"Chérubino"
"Chiaffredo"
"Childebert"
"Chilpéric"
"Chourroum"
"Chrétien"
"Chrisole"
"Christian"
"Christin"
"Christodule"
"Christophe"
"Christos"
"Chrysole"
"Chrysostome"
"Cico"
"Circoncis"
"Ciril"
"Cirillo"
"Claude"
"Claudia"
"Claudien"
"Claudio"
"Claudius"
"Clay"
"Cléandre"
"Cléber"
"Clébert"
"Clély"
"Clément"
"Clémente"
"Cléophas"
"Clobert"
"Clodion"
"Clodomir"
"Clotaire"
"Clovis"
